Open,High,Low,Close,Volume
29800.0,30600.0,29760.0,30400.0,18705000
77300.0,77700.0,77000.0,77700.0,11699798
26000.0,26080.0,25740.0,25820.0,20474650
29400.0,30000.0,29200.0,29940.0,13661150
6640.0,6700.0,6600.0,6660.0,28480000
35900.0,35900.0,35400.0,35600.0,10652450
3960.0,4200.0,3850.0,4140.0,52065000
44200.0,45000.0,43800.0,44850.0,9739982
49440.0,50540.0,49240.0,49740.0,14304400
75100.0,75100.0,73600.0,73700.0,12559258
43500.0,44200.0,43500.0,43850.0,7289124
15720.0,15980.0,15720.0,15900.0,14586800
11600.0,11740.0,11560.0,11740.0,29269050
41900.0,42240.0,41700.0,42140.0,10699700
6600.0,6980.0,6510.0,6800.0,53365000
9200.0,9470.0,9160.0,9420.0,23050000
9100.0,9340.0,9100.0,9290.0,17315000
13700.0,14000.0,13660.0,13980.0,31756300
3460.0,3550.0,3380.0,3440.0,53740000
51780.0,51780.0,51060.0,51060.0,8905200
7130.0,7210.0,7040.0,7100.0,31370000
12220.0,12240.0,12060.0,12120.0,18258900
50760.0,51320.0,50560.0,51200.0,8367600
5500.0,6100.0,5460.0,6000.0,75530000
26000.0,26140.0,25900.0,26040.0,14913400
6600.0,6650.0,6500.0,6570.0,26320000
22420.0,22520.0,21820.0,21820.0,24858600
2990.0,3010.0,2960.0,2980.0,16855000
42600.0,43550.0,42400.0,42500.0,41701626
12120.0,12340.0,12020.0,12260.0,17635500
6420.0,6420.0,6420.0,6420.0,0
26580.0,26980.0,26400.0,26860.0,6672950
19400.0,19560.0,19320.0,19420.0,28454600
72400.0,73500.0,71900.0,72900.0,28490496
3800.0,3900.0,3760.0,3900.0,54935000
26120.0,26460.0,25960.0,26280.0,12114550
11900.0,12040.0,11880.0,12020.0,11348350
3330.0,3540.0,3310.0,3540.0,37325000
27580.0,27600.0,27360.0,27500.0,8179150
26000.0,26020.0,25760.0,25880.0,7254450
82900.0,83000.0,82400.0,82400.0,13934746
23460.0,23580.0,23020.0,23200.0,23259200
11440.0,11460.0,11180.0,11320.0,34475350
